"","country","value"
"1","Afghanistan",2
"2","Angola",1
"3","Armenia",4
"4","Bangladesh",4
"5","Bolivia, Plurinational State of",1
"6","Brazil",1
"7","Burundi",3
"8","Cabo Verde",1
"9","Cambodia",3
"10","Cameroon",2
"11","Chad",4
"12","Colombia",1
"13","Comoros",3
"14","Congo",1
"15","Cote d'Ivoire",4
"16","Dominican Republic",2
"17","Ecuador",1
"18","El Salvador",1
"19","Equatorial Guinea",1
"20","Ethiopia",1
"21","Gambia",1
"22","Georgia",2
"23","Ghana",1
"24","Guatemala",1
"25","Guyana",2
"26","Haiti",1
"27","India",1
"28","Kenya",1
"29","Kiribati",2
"30","Kyrgyzstan",1
"31","Lebanon",1
"32","Madagascar",2
"33","Mali",1
"34","Mauritius",1
"35","Moldova, Republic of",1
"36","Morocco",1
"37","Mozambique",2
"38","Namibia",1
"39","Nepal",1
"40","Nigeria",1
"41","Pakistan",1
"42","Peru",1
"43","Philippines",3
"44","Rwanda",3
"45","Samoa",1
"46","Senegal",1
"47","Somalia",1
"48","South Sudan",2
"49","Sudan",2
"50","Tajikistan",1
"51","Tanzania, United Republic of",4
"52","Thailand",2
"53","Timor-Leste",2
"54","Tonga",1
"55","Tunisia",1
"56","Uganda",1
"57","Yemen",2
"58","Zimbabwe",1
