"country","total"
"Afghanistan",8098637
"Angola",664429.647058824
"Armenia",1219000
"Azerbaijan",34900
"Bangladesh",4900877.66666667
"Benin",386429.647058824
"Bolivia, Plurinational State of",41201
"Brazil",47114
"Burkina Faso",586805.047058824
"Burundi",3366865
"Cabo Verde",472000
"Cambodia",6670732.33333333
"Cameroon",916096.313725491
"Chad",11835305.4
"Colombia",118000
"Comoros",603233
"Congo",7652668
"Cote d'Ivoire",8636917.64705882
"Dominican Republic",700324
"Ecuador",54948
"El Salvador",53390
"Equatorial Guinea",70188
"Ethiopia",1383724.64705882
"Gambia",86666.6666666667
"Georgia",3761000
"Ghana",758429.647058824
"Guatemala",188000
"Guyana",170889
"Haiti",819264
"India",3543514.66666667
"Iran, Islamic Republic of",34900
"Kazakhstan",34900
"Kenya",386429.647058824
"Kiribati",138568
"Kyrgyzstan",206900
"Lao People's Democratic Republic",267457.333333333
"Lebanon",870329
"Madagascar",354398
"Malawi",386429.647058824
"Mali",930805.047058824
"Mauritania",200375.4
"Mauritius",204000
"Moldova, Republic of",686810
"Morocco",245000
"Mozambique",386429.647058824
"Myanmar",267457.333333333
"Namibia",478000
"Nepal",5497692
"Niger",200375.4
"Nigeria",3654170.31372549
"Pakistan",85065
"Peru",264000
"Philippines",990171
"Rwanda",1157110.64705882
"Samoa",351000
"Senegal",763429.647058824
"Somalia",5310674
"South Sudan",11124220
"Sudan",11451985
"Tajikistan",2925768
"Tanzania, United Republic of",4509429.64705882
"Thailand",915171
"Timor-Leste",467651
"Tonga",346000
"Tunisia",401000
"Turkey",144900
"Turkmenistan",34900
"Uganda",386429.647058824
"Uzbekistan",34900
"Yemen",11949018
"Zambia",386429.647058824
"Zimbabwe",86666.6666666667
